R12 = 06.129 Kohm,   Node1--/\/\/----|>--Node2 (i.e direction 1) 
R13 = 00.751 Kohm,   Node1--<|----/\/\/--Node3 (i.e direction 0) 
R14 = 00.344 Kohm,   Node1--<|----/\/\/--Node4 (i.e direction 0) 
R15 = 09.720 Kohm,   Node1--<|----/\/\/--Node5 (i.e direction 0) 
R16 = 05.085 Kohm,   Node1--<|----/\/\/--Node6 (i.e direction 0) 
R23 = 00.996 Kohm,   Node2--/\/\/----|>--Node3 (i.e direction 1) 
R24 = 02.909 Kohm,   Node2--<|----/\/\/--Node4 (i.e direction 0) 
R25 = 02.278 Kohm,   Node2--/\/\/----|>--Node5 (i.e direction 1) 
R26 = 03.389 Kohm,   Node2--<|----/\/\/--Node6 (i.e direction 0) 
R34 = 04.241 Kohm,   Node3--<|----/\/\/--Node4 (i.e direction 0) 
R35 = 05.254 Kohm,   Node3--<|----/\/\/--Node5 (i.e direction 0) 
R36 = 07.925 Kohm,   Node3--<|----/\/\/--Node6 (i.e direction 0) 
R45 = 05.790 Kohm,   Node4--/\/\/----|>--Node5 (i.e direction 1) 
R46 = 03.867 Kohm,   Node4--<|----/\/\/--Node6 (i.e direction 0) 
R56 = 00.476 Kohm,   Node5--<|----/\/\/--Node6 (i.e direction 0) 
