R12 = 05.952 Kohm,   Node1--/\/\/----|>--Node2 (i.e direction 1) 
R13 = 00.649 Kohm,   Node1--<|----/\/\/--Node3 (i.e direction 0) 
R14 = 05.739 Kohm,   Node1--/\/\/----|>--Node4 (i.e direction 1) 
R15 = 06.109 Kohm,   Node1--/\/\/----|>--Node5 (i.e direction 1) 
R16 = 01.757 Kohm,   Node1--<|----/\/\/--Node6 (i.e direction 0) 
R23 = 02.995 Kohm,   Node2--/\/\/----|>--Node3 (i.e direction 1) 
R24 = 03.089 Kohm,   Node2--/\/\/----|>--Node4 (i.e direction 1) 
R25 = 08.512 Kohm,   Node2--/\/\/----|>--Node5 (i.e direction 1) 
R26 = 05.932 Kohm,   Node2--<|----/\/\/--Node6 (i.e direction 0) 
R34 = 00.420 Kohm,   Node3--/\/\/----|>--Node4 (i.e direction 1) 
R35 = 06.983 Kohm,   Node3--/\/\/----|>--Node5 (i.e direction 1) 
R36 = 07.218 Kohm,   Node3--/\/\/----|>--Node6 (i.e direction 1) 
R45 = 00.376 Kohm,   Node4--/\/\/----|>--Node5 (i.e direction 1) 
R46 = 00.423 Kohm,   Node4--<|----/\/\/--Node6 (i.e direction 0) 
R56 = 08.780 Kohm,   Node5--<|----/\/\/--Node6 (i.e direction 0) 
