R12 = 06.951 Kohm,   Node1--<|----/\/\/--Node2 (i.e direction 0) 
R13 = 01.712 Kohm,   Node1--<|----/\/\/--Node3 (i.e direction 0) 
R14 = 02.120 Kohm,   Node1--/\/\/----|>--Node4 (i.e direction 1) 
R15 = 04.855 Kohm,   Node1--<|----/\/\/--Node5 (i.e direction 0) 
R16 = 08.703 Kohm,   Node1--/\/\/----|>--Node6 (i.e direction 1) 
R23 = 06.061 Kohm,   Node2--/\/\/----|>--Node3 (i.e direction 1) 
R24 = 07.372 Kohm,   Node2--<|----/\/\/--Node4 (i.e direction 0) 
R25 = 08.859 Kohm,   Node2--<|----/\/\/--Node5 (i.e direction 0) 
R26 = 01.217 Kohm,   Node2--/\/\/----|>--Node6 (i.e direction 1) 
R34 = 04.178 Kohm,   Node3--/\/\/----|>--Node4 (i.e direction 1) 
R35 = 07.124 Kohm,   Node3--<|----/\/\/--Node5 (i.e direction 0) 
R36 = 09.204 Kohm,   Node3--<|----/\/\/--Node6 (i.e direction 0) 
R45 = 04.326 Kohm,   Node4--<|----/\/\/--Node5 (i.e direction 0) 
R46 = 02.891 Kohm,   Node4--<|----/\/\/--Node6 (i.e direction 0) 
R56 = 07.255 Kohm,   Node5--<|----/\/\/--Node6 (i.e direction 0) 
