R12 = 09.388 Kohm,   Node1--<|----/\/\/--Node2 (i.e direction 0) 
R13 = 06.524 Kohm,   Node1--<|----/\/\/--Node3 (i.e direction 0) 
R14 = 06.098 Kohm,   Node1--/\/\/----|>--Node4 (i.e direction 1) 
R15 = 09.008 Kohm,   Node1--/\/\/----|>--Node5 (i.e direction 1) 
R16 = 04.795 Kohm,   Node1--<|----/\/\/--Node6 (i.e direction 0) 
R23 = 04.804 Kohm,   Node2--<|----/\/\/--Node3 (i.e direction 0) 
R24 = 00.587 Kohm,   Node2--/\/\/----|>--Node4 (i.e direction 1) 
R25 = 02.557 Kohm,   Node2--<|----/\/\/--Node5 (i.e direction 0) 
R26 = 05.505 Kohm,   Node2--/\/\/----|>--Node6 (i.e direction 1) 
R34 = 09.318 Kohm,   Node3--/\/\/----|>--Node4 (i.e direction 1) 
R35 = 06.579 Kohm,   Node3--/\/\/----|>--Node5 (i.e direction 1) 
R36 = 03.958 Kohm,   Node3--/\/\/----|>--Node6 (i.e direction 1) 
R45 = 03.518 Kohm,   Node4--/\/\/----|>--Node5 (i.e direction 1) 
R46 = 03.791 Kohm,   Node4--/\/\/----|>--Node6 (i.e direction 1) 
R56 = 08.485 Kohm,   Node5--/\/\/----|>--Node6 (i.e direction 1) 
