R12 = 06.892 Kohm,   Node1--/\/\/----|>--Node2 (i.e direction 1) 
R13 = 02.072 Kohm,   Node1--<|----/\/\/--Node3 (i.e direction 0) 
R14 = 05.097 Kohm,   Node1--/\/\/----|>--Node4 (i.e direction 1) 
R15 = 09.160 Kohm,   Node1--<|----/\/\/--Node5 (i.e direction 0) 
R16 = 07.243 Kohm,   Node1--/\/\/----|>--Node6 (i.e direction 1) 
R23 = 08.600 Kohm,   Node2--<|----/\/\/--Node3 (i.e direction 0) 
R24 = 01.615 Kohm,   Node2--<|----/\/\/--Node4 (i.e direction 0) 
R25 = 09.421 Kohm,   Node2--<|----/\/\/--Node5 (i.e direction 0) 
R26 = 08.730 Kohm,   Node2--/\/\/----|>--Node6 (i.e direction 1) 
R34 = 06.953 Kohm,   Node3--/\/\/----|>--Node4 (i.e direction 1) 
R35 = 02.888 Kohm,   Node3--/\/\/----|>--Node5 (i.e direction 1) 
R36 = 03.932 Kohm,   Node3--/\/\/----|>--Node6 (i.e direction 1) 
R45 = 02.398 Kohm,   Node4--/\/\/----|>--Node5 (i.e direction 1) 
R46 = 02.985 Kohm,   Node4--/\/\/----|>--Node6 (i.e direction 1) 
R56 = 05.524 Kohm,   Node5--/\/\/----|>--Node6 (i.e direction 1) 
