R12 = 03.785 Kohm,   Node1--/\/\/----|>--Node2 (i.e direction 1) 
R13 = 08.674 Kohm,   Node1--/\/\/----|>--Node3 (i.e direction 1) 
R14 = 05.304 Kohm,   Node1--<|----/\/\/--Node4 (i.e direction 0) 
R15 = 02.691 Kohm,   Node1--/\/\/----|>--Node5 (i.e direction 1) 
R16 = 03.527 Kohm,   Node1--/\/\/----|>--Node6 (i.e direction 1) 
R23 = 08.614 Kohm,   Node2--<|----/\/\/--Node3 (i.e direction 0) 
R24 = 00.470 Kohm,   Node2--<|----/\/\/--Node4 (i.e direction 0) 
R25 = 06.199 Kohm,   Node2--<|----/\/\/--Node5 (i.e direction 0) 
R26 = 04.367 Kohm,   Node2--<|----/\/\/--Node6 (i.e direction 0) 
R34 = 09.128 Kohm,   Node3--<|----/\/\/--Node4 (i.e direction 0) 
R35 = 06.734 Kohm,   Node3--/\/\/----|>--Node5 (i.e direction 1) 
R36 = 05.438 Kohm,   Node3--/\/\/----|>--Node6 (i.e direction 1) 
R45 = 04.676 Kohm,   Node4--<|----/\/\/--Node5 (i.e direction 0) 
R46 = 03.104 Kohm,   Node4--/\/\/----|>--Node6 (i.e direction 1) 
R56 = 05.212 Kohm,   Node5--/\/\/----|>--Node6 (i.e direction 1) 
