R12 = 06.093 Kohm,   Node1--<|----/\/\/--Node2 (i.e direction 0) 
R13 = 07.224 Kohm,   Node1--<|----/\/\/--Node3 (i.e direction 0) 
R14 = 07.504 Kohm,   Node1--/\/\/----|>--Node4 (i.e direction 1) 
R15 = 06.642 Kohm,   Node1--<|----/\/\/--Node5 (i.e direction 0) 
R16 = 08.443 Kohm,   Node1--/\/\/----|>--Node6 (i.e direction 1) 
R23 = 02.995 Kohm,   Node2--<|----/\/\/--Node3 (i.e direction 0) 
R24 = 01.871 Kohm,   Node2--<|----/\/\/--Node4 (i.e direction 0) 
R25 = 02.597 Kohm,   Node2--/\/\/----|>--Node5 (i.e direction 1) 
R26 = 08.923 Kohm,   Node2--<|----/\/\/--Node6 (i.e direction 0) 
R34 = 05.737 Kohm,   Node3--/\/\/----|>--Node4 (i.e direction 1) 
R35 = 05.620 Kohm,   Node3--/\/\/----|>--Node5 (i.e direction 1) 
R36 = 02.960 Kohm,   Node3--/\/\/----|>--Node6 (i.e direction 1) 
R45 = 00.228 Kohm,   Node4--<|----/\/\/--Node5 (i.e direction 0) 
R46 = 02.260 Kohm,   Node4--/\/\/----|>--Node6 (i.e direction 1) 
R56 = 04.783 Kohm,   Node5--<|----/\/\/--Node6 (i.e direction 0) 
