R12 = 01.138 Kohm,   Node1--/\/\/----|>--Node2 (i.e direction 1) 
R13 = 03.619 Kohm,   Node1--<|----/\/\/--Node3 (i.e direction 0) 
R14 = 08.517 Kohm,   Node1--<|----/\/\/--Node4 (i.e direction 0) 
R15 = 03.015 Kohm,   Node1--/\/\/----|>--Node5 (i.e direction 1) 
R16 = 02.145 Kohm,   Node1--/\/\/----|>--Node6 (i.e direction 1) 
R17 = 06.500 Kohm,   Node1--<|----/\/\/--Node7 (i.e direction 0) 
R23 = 04.176 Kohm,   Node2--/\/\/----|>--Node3 (i.e direction 1) 
R24 = 06.883 Kohm,   Node2--/\/\/----|>--Node4 (i.e direction 1) 
R25 = 01.541 Kohm,   Node2--/\/\/----|>--Node5 (i.e direction 1) 
R26 = 01.896 Kohm,   Node2--<|----/\/\/--Node6 (i.e direction 0) 
R27 = 01.477 Kohm,   Node2--/\/\/----|>--Node7 (i.e direction 1) 
R34 = 06.640 Kohm,   Node3--<|----/\/\/--Node4 (i.e direction 0) 
R35 = 01.940 Kohm,   Node3--<|----/\/\/--Node5 (i.e direction 0) 
R36 = 01.422 Kohm,   Node3--<|----/\/\/--Node6 (i.e direction 0) 
R37 = 04.904 Kohm,   Node3--/\/\/----|>--Node7 (i.e direction 1) 
R45 = 07.133 Kohm,   Node4--<|----/\/\/--Node5 (i.e direction 0) 
R46 = 01.024 Kohm,   Node4--<|----/\/\/--Node6 (i.e direction 0) 
R47 = 00.249 Kohm,   Node4--<|----/\/\/--Node7 (i.e direction 0) 
R56 = 02.675 Kohm,   Node5--/\/\/----|>--Node6 (i.e direction 1) 
R57 = 09.240 Kohm,   Node5--<|----/\/\/--Node7 (i.e direction 0) 
R67 = 09.826 Kohm,   Node6--/\/\/----|>--Node7 (i.e direction 1) 
