R12 = 04.641 Kohm,   Node1--<|----/\/\/--Node2 (i.e direction 0) 
R13 = 03.309 Kohm,   Node1--/\/\/----|>--Node3 (i.e direction 1) 
R14 = 06.536 Kohm,   Node1--/\/\/----|>--Node4 (i.e direction 1) 
R15 = 06.233 Kohm,   Node1--<|----/\/\/--Node5 (i.e direction 0) 
R16 = 02.668 Kohm,   Node1--/\/\/----|>--Node6 (i.e direction 1) 
R17 = 01.754 Kohm,   Node1--<|----/\/\/--Node7 (i.e direction 0) 
R23 = 06.267 Kohm,   Node2--/\/\/----|>--Node3 (i.e direction 1) 
R24 = 02.119 Kohm,   Node2--<|----/\/\/--Node4 (i.e direction 0) 
R25 = 03.915 Kohm,   Node2--/\/\/----|>--Node5 (i.e direction 1) 
R26 = 04.639 Kohm,   Node2--<|----/\/\/--Node6 (i.e direction 0) 
R27 = 05.246 Kohm,   Node2--/\/\/----|>--Node7 (i.e direction 1) 
R34 = 09.037 Kohm,   Node3--<|----/\/\/--Node4 (i.e direction 0) 
R35 = 02.631 Kohm,   Node3--<|----/\/\/--Node5 (i.e direction 0) 
R36 = 04.990 Kohm,   Node3--/\/\/----|>--Node6 (i.e direction 1) 
R37 = 02.636 Kohm,   Node3--<|----/\/\/--Node7 (i.e direction 0) 
R45 = 08.109 Kohm,   Node4--<|----/\/\/--Node5 (i.e direction 0) 
R46 = 04.282 Kohm,   Node4--/\/\/----|>--Node6 (i.e direction 1) 
R47 = 01.094 Kohm,   Node4--<|----/\/\/--Node7 (i.e direction 0) 
R56 = 04.939 Kohm,   Node5--<|----/\/\/--Node6 (i.e direction 0) 
R57 = 03.004 Kohm,   Node5--/\/\/----|>--Node7 (i.e direction 1) 
R67 = 02.087 Kohm,   Node6--/\/\/----|>--Node7 (i.e direction 1) 
