R12 = 02.695 Kohm,   Node1--<|----/\/\/--Node2 (i.e direction 0) 
R13 = 02.393 Kohm,   Node1--<|----/\/\/--Node3 (i.e direction 0) 
R14 = 09.734 Kohm,   Node1--/\/\/----|>--Node4 (i.e direction 1) 
R15 = 03.910 Kohm,   Node1--/\/\/----|>--Node5 (i.e direction 1) 
R16 = 02.486 Kohm,   Node1--<|----/\/\/--Node6 (i.e direction 0) 
R17 = 01.603 Kohm,   Node1--/\/\/----|>--Node7 (i.e direction 1) 
R18 = 06.099 Kohm,   Node1--/\/\/----|>--Node8 (i.e direction 1) 
R19 = 09.771 Kohm,   Node1--/\/\/----|>--Node9 (i.e direction 1) 
R23 = 04.421 Kohm,   Node2--<|----/\/\/--Node3 (i.e direction 0) 
R24 = 01.211 Kohm,   Node2--/\/\/----|>--Node4 (i.e direction 1) 
R25 = 03.355 Kohm,   Node2--/\/\/----|>--Node5 (i.e direction 1) 
R26 = 03.215 Kohm,   Node2--/\/\/----|>--Node6 (i.e direction 1) 
R27 = 08.106 Kohm,   Node2--<|----/\/\/--Node7 (i.e direction 0) 
R28 = 01.394 Kohm,   Node2--<|----/\/\/--Node8 (i.e direction 0) 
R29 = 02.684 Kohm,   Node2--<|----/\/\/--Node9 (i.e direction 0) 
R34 = 08.152 Kohm,   Node3--<|----/\/\/--Node4 (i.e direction 0) 
R35 = 01.509 Kohm,   Node3--/\/\/----|>--Node5 (i.e direction 1) 
R36 = 00.214 Kohm,   Node3--/\/\/----|>--Node6 (i.e direction 1) 
R37 = 05.249 Kohm,   Node3--<|----/\/\/--Node7 (i.e direction 0) 
R38 = 05.136 Kohm,   Node3--/\/\/----|>--Node8 (i.e direction 1) 
R39 = 07.978 Kohm,   Node3--/\/\/----|>--Node9 (i.e direction 1) 
R45 = 07.438 Kohm,   Node4--<|----/\/\/--Node5 (i.e direction 0) 
R46 = 03.138 Kohm,   Node4--<|----/\/\/--Node6 (i.e direction 0) 
R47 = 07.775 Kohm,   Node4--<|----/\/\/--Node7 (i.e direction 0) 
R48 = 08.357 Kohm,   Node4--<|----/\/\/--Node8 (i.e direction 0) 
R49 = 04.157 Kohm,   Node4--<|----/\/\/--Node9 (i.e direction 0) 
R56 = 05.165 Kohm,   Node5--<|----/\/\/--Node6 (i.e direction 0) 
R57 = 04.396 Kohm,   Node5--/\/\/----|>--Node7 (i.e direction 1) 
R58 = 08.022 Kohm,   Node5--<|----/\/\/--Node8 (i.e direction 0) 
R59 = 01.244 Kohm,   Node5--<|----/\/\/--Node9 (i.e direction 0) 
R67 = 04.079 Kohm,   Node6--<|----/\/\/--Node7 (i.e direction 0) 
R68 = 07.839 Kohm,   Node6--/\/\/----|>--Node8 (i.e direction 1) 
R69 = 06.717 Kohm,   Node6--<|----/\/\/--Node9 (i.e direction 0) 
R78 = 07.213 Kohm,   Node7--/\/\/----|>--Node8 (i.e direction 1) 
R79 = 08.354 Kohm,   Node7--<|----/\/\/--Node9 (i.e direction 0) 
R89 = 07.578 Kohm,   Node8--/\/\/----|>--Node9 (i.e direction 1) 
