R12 = 00.797 Kohm,   Node1--<|----/\/\/--Node2 (i.e direction 0) 
R13 = 01.820 Kohm,   Node1--<|----/\/\/--Node3 (i.e direction 0) 
R14 = 06.665 Kohm,   Node1--/\/\/----|>--Node4 (i.e direction 1) 
R15 = 03.964 Kohm,   Node1--/\/\/----|>--Node5 (i.e direction 1) 
R16 = 03.205 Kohm,   Node1--<|----/\/\/--Node6 (i.e direction 0) 
R17 = 05.202 Kohm,   Node1--/\/\/----|>--Node7 (i.e direction 1) 
R23 = 01.930 Kohm,   Node2--/\/\/----|>--Node3 (i.e direction 1) 
R24 = 03.150 Kohm,   Node2--<|----/\/\/--Node4 (i.e direction 0) 
R25 = 09.523 Kohm,   Node2--<|----/\/\/--Node5 (i.e direction 0) 
R26 = 00.721 Kohm,   Node2--<|----/\/\/--Node6 (i.e direction 0) 
R27 = 06.491 Kohm,   Node2--<|----/\/\/--Node7 (i.e direction 0) 
R34 = 09.666 Kohm,   Node3--/\/\/----|>--Node4 (i.e direction 1) 
R35 = 04.923 Kohm,   Node3--/\/\/----|>--Node5 (i.e direction 1) 
R36 = 07.446 Kohm,   Node3--/\/\/----|>--Node6 (i.e direction 1) 
R37 = 08.420 Kohm,   Node3--/\/\/----|>--Node7 (i.e direction 1) 
R45 = 01.335 Kohm,   Node4--<|----/\/\/--Node5 (i.e direction 0) 
R46 = 05.985 Kohm,   Node4--/\/\/----|>--Node6 (i.e direction 1) 
R47 = 02.575 Kohm,   Node4--/\/\/----|>--Node7 (i.e direction 1) 
R56 = 05.974 Kohm,   Node5--<|----/\/\/--Node6 (i.e direction 0) 
R57 = 04.561 Kohm,   Node5--/\/\/----|>--Node7 (i.e direction 1) 
R67 = 05.994 Kohm,   Node6--<|----/\/\/--Node7 (i.e direction 0) 
