R12 = 06.585 Kohm,   Node1--/\/\/----|>--Node2 (i.e direction 1) 
R13 = 00.726 Kohm,   Node1--<|----/\/\/--Node3 (i.e direction 0) 
R14 = 08.550 Kohm,   Node1--/\/\/----|>--Node4 (i.e direction 1) 
R15 = 02.146 Kohm,   Node1--<|----/\/\/--Node5 (i.e direction 0) 
R16 = 02.255 Kohm,   Node1--<|----/\/\/--Node6 (i.e direction 0) 
R17 = 02.075 Kohm,   Node1--/\/\/----|>--Node7 (i.e direction 1) 
R23 = 09.995 Kohm,   Node2--<|----/\/\/--Node3 (i.e direction 0) 
R24 = 01.533 Kohm,   Node2--/\/\/----|>--Node4 (i.e direction 1) 
R25 = 08.824 Kohm,   Node2--<|----/\/\/--Node5 (i.e direction 0) 
R26 = 02.215 Kohm,   Node2--/\/\/----|>--Node6 (i.e direction 1) 
R27 = 08.323 Kohm,   Node2--/\/\/----|>--Node7 (i.e direction 1) 
R34 = 04.948 Kohm,   Node3--<|----/\/\/--Node4 (i.e direction 0) 
R35 = 05.550 Kohm,   Node3--/\/\/----|>--Node5 (i.e direction 1) 
R36 = 09.629 Kohm,   Node3--/\/\/----|>--Node6 (i.e direction 1) 
R37 = 09.557 Kohm,   Node3--<|----/\/\/--Node7 (i.e direction 0) 
R45 = 04.119 Kohm,   Node4--/\/\/----|>--Node5 (i.e direction 1) 
R46 = 04.896 Kohm,   Node4--<|----/\/\/--Node6 (i.e direction 0) 
R47 = 08.790 Kohm,   Node4--/\/\/----|>--Node7 (i.e direction 1) 
R56 = 09.330 Kohm,   Node5--<|----/\/\/--Node6 (i.e direction 0) 
R57 = 03.976 Kohm,   Node5--<|----/\/\/--Node7 (i.e direction 0) 
R67 = 03.929 Kohm,   Node6--/\/\/----|>--Node7 (i.e direction 1) 
