Rn1n2 = 11.516 Kohm,   n1--<|----/\/\/--n2 (i.e direction 0) 
Rn1n3 = 64.237 Kohm,   n1--<|----/\/\/--n3 (i.e direction 0) 
Rn1n4 = 63.212 Kohm,   n1--/\/\/----|>--n4 (i.e direction 1) 
Rn1n5 = 21.139 Kohm,   n1--<|----/\/\/--n5 (i.e direction 0) 
Rn1n6 = 23.080 Kohm,   n1--<|----/\/\/--n6 (i.e direction 0) 
Rn1n7 = 60.487 Kohm,   n1--/\/\/----|>--n7 (i.e direction 1) 
Rn1n8 = 99.426 Kohm,   n1--<|----/\/\/--n8 (i.e direction 0) 
Rn1n9 = 75.052 Kohm,   n1--<|----/\/\/--n9 (i.e direction 0) 
Rn1n10 = 18.908 Kohm,   n1--<|----/\/\/--n10 (i.e direction 0) 
Rn2n3 = 50.575 Kohm,   n2--/\/\/----|>--n3 (i.e direction 1) 
Rn2n4 = 20.894 Kohm,   n2--/\/\/----|>--n4 (i.e direction 1) 
Rn2n5 = 47.497 Kohm,   n2--/\/\/----|>--n5 (i.e direction 1) 
Rn2n6 = 65.835 Kohm,   n2--<|----/\/\/--n6 (i.e direction 0) 
Rn2n7 = 66.052 Kohm,   n2--<|----/\/\/--n7 (i.e direction 0) 
Rn2n8 = 11.739 Kohm,   n2--<|----/\/\/--n8 (i.e direction 0) 
Rn2n9 = 75.472 Kohm,   n2--/\/\/----|>--n9 (i.e direction 1) 
Rn2n10 = 89.749 Kohm,   n2--<|----/\/\/--n10 (i.e direction 0) 
Rn3n4 = 42.993 Kohm,   n3--<|----/\/\/--n4 (i.e direction 0) 
Rn3n5 = 34.614 Kohm,   n3--/\/\/----|>--n5 (i.e direction 1) 
Rn3n6 = 39.533 Kohm,   n3--/\/\/----|>--n6 (i.e direction 1) 
Rn3n7 = 36.462 Kohm,   n3--/\/\/----|>--n7 (i.e direction 1) 
Rn3n8 = 59.771 Kohm,   n3--<|----/\/\/--n8 (i.e direction 0) 
Rn3n9 = 49.870 Kohm,   n3--/\/\/----|>--n9 (i.e direction 1) 
Rn3n10 = 81.095 Kohm,   n3--/\/\/----|>--n10 (i.e direction 1) 
Rn4n5 = 78.093 Kohm,   n4--<|----/\/\/--n5 (i.e direction 0) 
Rn4n6 = 45.686 Kohm,   n4--/\/\/----|>--n6 (i.e direction 1) 
Rn4n7 = 88.490 Kohm,   n4--/\/\/----|>--n7 (i.e direction 1) 
Rn4n8 = 75.276 Kohm,   n4--/\/\/----|>--n8 (i.e direction 1) 
Rn4n9 = 57.822 Kohm,   n4--<|----/\/\/--n9 (i.e direction 0) 
Rn4n10 = 97.166 Kohm,   n4--/\/\/----|>--n10 (i.e direction 1) 
Rn5n6 = 47.375 Kohm,   n5--/\/\/----|>--n6 (i.e direction 1) 
Rn5n7 = 31.834 Kohm,   n5--/\/\/----|>--n7 (i.e direction 1) 
Rn5n8 = 12.856 Kohm,   n5--/\/\/----|>--n8 (i.e direction 1) 
Rn5n9 = 51.385 Kohm,   n5--/\/\/----|>--n9 (i.e direction 1) 
Rn5n10 = 44.168 Kohm,   n5--/\/\/----|>--n10 (i.e direction 1) 
Rn6n7 = 70.377 Kohm,   n6--/\/\/----|>--n7 (i.e direction 1) 
Rn6n8 = 15.857 Kohm,   n6--<|----/\/\/--n8 (i.e direction 0) 
Rn6n9 = 21.366 Kohm,   n6--/\/\/----|>--n9 (i.e direction 1) 
Rn6n10 = 70.401 Kohm,   n6--/\/\/----|>--n10 (i.e direction 1) 
Rn7n8 = 30.363 Kohm,   n7--<|----/\/\/--n8 (i.e direction 0) 
Rn7n9 = 60.933 Kohm,   n7--/\/\/----|>--n9 (i.e direction 1) 
Rn7n10 = 42.675 Kohm,   n7--/\/\/----|>--n10 (i.e direction 1) 
Rn8n9 = 17.901 Kohm,   n8--<|----/\/\/--n9 (i.e direction 0) 
Rn8n10 = 40.007 Kohm,   n8--<|----/\/\/--n10 (i.e direction 0) 
Rn9n10 = 82.487 Kohm,   n9--/\/\/----|>--n10 (i.e direction 1) 

Output Shunt Resistance = 70.000 kOhm 
Input Contact Resistance = 200.000 Ohm 
Output Contact Resistance = 0.000 Ohm 
